longitude,latitude,elevation
-51.132690934759445,-27.681842147390025,875.048589301738
-51.12928615910443,-27.68272707847317,952.0427769944653
-51.12665444052724,-27.688384723585052,903.2699130949752
-51.12704196086731,-27.694229581981844,956.966325604287
-51.132690934759445,-27.6818361317786,880.2454184164275
-51.12197593179346,-27.683691362090922,955.3783583306802
-51.13180427903744,-27.68203694808117,912.5698289243246
-51.12844401088099,-27.69266555019184,875.8851130632571
-51.132690934759445,-27.681820139364756,874.8359452825493
-51.10852558725688,-27.693354587591816,964.3634552426662
-51.102835490796195,-27.707530608472574,979.2840158733284
-51.132690934759445,-27.681820393745138,894.8694796437305
-51.110341488915175,-27.688190398090743,980.8973804656935
-51.12933318372598,-27.68185946185796,887.4519634002769
-51.11824810757668,-27.70458367743468,882.4235914540354
-51.12997149297298,-27.682007546551546,934.9932446539601
-51.114721326531814,-27.692785822288492,951.1248312500651
-51.1305731956624,-27.682002712347302,907.760315867303
-51.105432176258375,-27.714170765634645,978.4375085883839
-51.132690934759445,-27.68505901342293,875.5429968681311
-51.117963953435066,-27.708628448501404,880.7060180964596
-51.132690934759445,-27.681820403580705,874.8353696152502
-51.11997390230215,-27.68945581899726,960.7335244201977
-51.12087603073584,-27.693307672129173,881.9839121675717
-51.106245805837446,-27.715494624508132,980.1222129151768
-51.132690934759445,-27.681820139568877,889.4557318465453
-51.129456947159106,-27.6821217314624,876.3692885166175
-51.11134197765715,-27.684545807674937,989.6274749109105
-51.100704284148925,-27.716135440023788,989.9351441277789
-51.132690934759445,-27.681820391370277,879.4048811885966
-51.12000955011698,-27.69531643940898,899.7606875383585
-51.132690934759445,-27.68189134344644,919.0958324984339
-51.127237085424234,-27.685761520899554,945.3160667803918
-51.12387311976612,-27.701625057778703,881.3444548314869
-51.09917396847104,-27.717491333409153,995.7769954116509
-51.10285976354277,-27.709908552392953,991.8472019754536
-51.13232789919868,-27.6954276896841,876.4161863263046
-51.108917468632605,-27.69580942806247,994.6423735902686
-51.13167718808515,-27.68347944602521,880.3369154701147
-51.09896923733615,-27.717759744223837,971.4680939235694
-51.132690934759445,-27.681827104146638,912.2626211082878
-51.11287000895004,-27.71744839362912,939.8151860265291
-51.131043562746356,-27.681857502610757,919.5051222552304
-51.098859189465514,-27.717773753703927,995.9746830440909
-51.10143498643781,-27.716898861654027,983.2556539140752
-51.102399541565205,-27.71684986188915,979.2065474455494
-51.132690934759445,-27.681824884151496,875.5526365737041
-51.132690934759445,-27.681820139636358,874.876756480694
-51.12365626260246,-27.682273137857994,886.7880531572173
-51.10506727386394,-27.704099319389545,980.0770537762814
-51.132690934759445,-27.681820481156155,878.2716544557077
-51.10025938632944,-27.71772148358899,980.44774095928
-51.119737121562125,-27.7043446332635,987.4485762631155
-51.11675943864743,-27.6826690071909,988.8990465535978
-51.10544821912749,-27.700643685191785,974.4842337134432
-51.10321157796973,-27.713416514013442,995.4685445461207
-51.12798286834134,-27.684805230188186,883.1977679862712
-51.132690934759445,-27.68182013939013,874.8439505642721
-51.09919976040673,-27.717123026461532,995.9624310199978
-51.129120674558074,-27.686734438669863,883.3231472494391
-51.132690934759445,-27.681820139349842,874.8351135766443
-51.11659522543143,-27.69511147841429,904.555623297166
-51.12923981855712,-27.68207426370339,883.4416783582602
-51.123004509616244,-27.682143671473007,934.413968742475
-51.10015689633119,-27.71564531643414,995.7046408702697
-51.13117256780607,-27.681894861615394,877.8222343840591
-51.09891848258191,-27.71461232464882,995.6890395621091
-51.111273420601286,-27.691974642427226,945.5612696119199
-51.132690934759445,-27.68182091044319,874.9032224415913
-51.132690934759445,-27.68182592860771,874.8548684837074
-51.09980364034459,-27.717707478405156,994.7284389140165
-51.132690934759445,-27.682655389058425,886.3675318946806
-51.132477269933126,-27.68246454935642,882.1998797402397
-51.132653151540715,-27.681848373789432,876.1118862304703
-51.132690934759445,-27.681823254010077,875.4432677457638
-51.1115271807877,-27.70929975616328,879.7308277905762
-51.116440719070376,-27.68632945019452,936.7409791457425
-51.132690934759445,-27.6819311188404,907.013951234672
-51.10475891876902,-27.689216859304565,995.9618153665192
-51.11221079014204,-27.692161294889175,890.8596620772508
-51.12368273061255,-27.69430230190851,914.019392274443
-51.13212107670183,-27.682159951083904,939.0048634185092
-51.1304830726324,-27.681846019411278,985.3128156257052
-51.09907458671824,-27.717575649867403,995.7655494758978
-51.132690934759445,-27.68185195379166,878.4706120330577
-51.10229973007789,-27.715222325890313,980.1724869632667
-51.13066197599433,-27.684054610552888,875.1020744513056
-51.132690934759445,-27.681820690032048,875.3318633400718
-51.132690934759445,-27.681820608523847,875.2476602243563
-51.10743900970288,-27.68420218810425,995.1807027993138
-51.104062616608836,-27.69512661760356,995.4528264766562
-51.132690934759445,-27.68182498524009,932.8004765085711
-51.131513921296474,-27.682302328736846,884.1492076601626
-51.109577720898905,-27.695079011832302,902.2628933232838
-51.12607764656677,-27.68523108067994,880.3273843874952
-51.12990828306794,-27.682100304296156,876.4365679761131
-51.132690934759445,-27.681831728109522,875.3467571504851
-51.11639957770317,-27.68443304759324,967.9592484592657
-51.129838366319724,-27.682928947654123,911.7900204858022
-51.129919138680506,-27.6827981659746,877.262452522844
-51.132690934759445,-27.681840582029597,883.7214499381624
-51.132690934759445,-27.682427496116617,911.20542040149
-51.12526697916862,-27.684096242583042,926.1521880411293
-51.1236432579894,-27.683951985956817,930.133327219669
-51.12308765812413,-27.68366090984769,950.16173450491
-51.132690934759445,-27.681824028363796,875.36337808974
-51.102669021437286,-27.71623113767961,983.5350242837885
-51.1188028554712,-27.683252871521702,954.48695427007
-51.09923864022646,-27.708623432794194,995.8111829216864
-51.1283340456831,-27.694354846533884,875.3489913135576
-51.13145937101545,-27.682442172818803,882.7344238784632
-51.10082402328753,-27.71240486443088,984.1319558768954
-51.10326650047798,-27.714648533986644,940.883787941978
-51.10705642919786,-27.69696867745563,985.902821011026
-51.125931406714656,-27.690814923532365,888.4048287082279
-51.11492450533547,-27.685547620341016,964.1411840701078
-51.104907460862236,-27.714520990912323,951.6359956698149
-51.132690934759445,-27.681820175947134,874.835127258792
-51.132690934759445,-27.682428616294196,884.6988710671975
-51.12997869595313,-27.68599332866425,875.2338785357808
-51.10201542212637,-27.71132102941226,946.9525056112178
-51.12108292607179,-27.682927739528367,951.6502223163856
-51.130392989336656,-27.68307275396749,898.7706594428232
-51.124097711877084,-27.684447441939632,947.1222923789551
-51.10790448907227,-27.695760588352837,983.6434063371037
-51.11912491111263,-27.685726018964655,875.2975911464775
-51.132690934759445,-27.681827969244537,905.8091357178896
-51.132690934759445,-27.681826576066907,885.438380529758
-51.13161525208437,-27.68200272671371,886.8034511649043
-51.13210095894032,-27.681924679794093,909.5951650208962
-51.124145339216945,-27.686450504825697,901.0767139382873
-51.132690934759445,-27.681820163217136,874.9414000797583
-51.132690934759445,-27.681820152997044,874.8635682917364
-51.13199152919024,-27.691367119621205,922.0187000105365
-51.11832957081166,-27.688376649167818,906.2899414834593
-51.11043576034821,-27.698416463567217,984.6601581014448
-51.12997131730083,-27.691978132004895,876.6099715538736
-51.132690934759445,-27.681849731961126,874.9697018382741
-51.124014971956484,-27.685939165912387,949.8830162116305
-51.12965668904089,-27.681888180541886,878.1160991311218
-51.124224530946975,-27.683482632510525,990.6105458734864
-51.11289921660367,-27.693796841066774,992.5601538737035
-51.132690934759445,-27.68182097121849,874.8835955866358
-51.132690934759445,-27.68182013934986,874.8351015202095
-51.132690934759445,-27.68182013934983,874.8351304901181
-51.132690934759445,-27.681820139787867,888.8000099232038
-51.132690934759445,-27.68183873711794,876.4697105330818
-51.132026769328995,-27.682488886128105,875.5545529094954
-51.12022733892874,-27.683328448220006,995.6350280260494
-51.132690934759445,-27.68182017127649,931.0996051746882
-51.1282143371337,-27.684282455316534,928.9519148949175
-51.132690934759445,-27.682610255959347,876.8131273485205
-51.13030459528845,-27.681900598187262,919.4089609587364
-51.120094383293406,-27.70106415764791,874.8504597069191
-51.09884378522887,-27.717676643297597,994.3152316061103
-51.132690934759445,-27.68182024433683,876.150014020512
-51.10870097284515,-27.69787993603421,985.1447789292492
-51.12438080451708,-27.684162602583356,987.7183616052394
-51.13045818090956,-27.68473538097138,881.2097901880168
