,timestamp,latitude,longitude,elevation
0,1577218696.999,-27.717812364332268,-51.09889510516885,948.7708362395846
1,1577218698.999,-27.71781822273656,-51.0988403106898,970.378820307201
2,1577218703.999,-27.717831784825872,-51.09887129159296,989.3742668772552
3,1577218704.999,-27.717832682083564,-51.098867135669664,988.4391388726976
4,1577218705.999,-27.71783451472317,-51.09887258274184,987.6687298563002
5,1577218706.999,-27.717832531355896,-51.09887347720272,987.5702329611892
6,1577218707.999,-27.71783212249062,-51.098873241728434,987.2835527282032
7,1577218708.999,-27.7178359292753,-51.0988759435579,987.1538377825289
8,1577218709.999,-27.717838519752657,-51.09887822597366,986.771461015203
9,1577218710.999,-27.71783877010622,-51.09887950491306,986.6731816529096
10,1577218711.999,-27.717839953923107,-51.098876700918325,986.1670558048442
11,1577218712.999,-27.717840157218184,-51.098876658424736,985.9185287282291
12,1577218713.999,-27.7178400513806,-51.09887629152976,985.8295750352167
13,1577218715.999,-27.71783920801936,-51.09887279550131,985.5675384861668
14,1577218716.999,-27.71783980967069,-51.09887444819389,985.5208222509278
15,1577218718.999,-27.71784033669363,-51.09887181515436,985.2182982477086
16,1577218719.999,-27.717840809467656,-51.09887077581463,985.1971462612344
17,1577218720.999,-27.717840659175707,-51.09886942505261,984.999615016292
18,1577218722.999,-27.717841161950872,-51.09886629364619,984.8059141550948
19,1577218723.999,-27.71784124374961,-51.09886622383985,984.7738832441852
20,1577218725.999,-27.717842542909523,-51.09886492064746,984.7751382250078
21,1577218726.999,-27.7178424476192,-51.09886502068645,984.8340475962052
22,1577218728.999,-27.717843416118114,-51.09886470557289,985.0002871763156
23,1577218729.999,-27.71784309945578,-51.09886508303606,985.1738128569884
24,1577218730.999,-27.717843439198585,-51.09886482068258,985.257174726958
25,1577218731.999,-27.71784369768296,-51.09886450574158,985.2797063998466
26,1577218732.999,-27.717843922995304,-51.09886463968484,985.2479167210016
27,1577218733.999,-27.71784389280793,-51.09886486322702,985.3566857999062
28,1577218734.999,-27.717843872453702,-51.09886456284614,985.4053244204492
29,1577218735.999,-27.717843959154752,-51.09886501036452,985.540616252022
30,1577218736.999,-27.71784416082989,-51.09886379571156,985.519814201244
31,1577218737.999,-27.71784454724659,-51.09886256402379,985.4093754989518
32,1577218738.999,-27.717844534393045,-51.09886187760073,985.4282212545588
33,1577218739.999,-27.717844565562707,-51.09886171886928,985.5089499248191
34,1577218740.999,-27.717844417337915,-51.09886176666626,985.6459302989732
35,1577218742.999,-27.7178444476022,-51.09886113372496,985.6575553525564
36,1577218743.999,-27.71784425219345,-51.09886074401864,985.6481086168868
37,1577218745.999,-27.7178441615939,-51.09886012374714,985.63710394536
38,1577218746.999,-27.71784413432038,-51.09886047871591,985.6838393184436
39,1577218747.999,-27.7178441223235,-51.09886075827127,985.7126506106896
40,1577218749.999,-27.71784402480294,-51.09886067277944,985.7640498007158
41,1577218750.999,-27.71784386417692,-51.09886065538411,985.7800774392186
42,1577218752.999,-27.71784322125948,-51.09886048109139,985.8493868350812
43,1577218753.999,-27.7178429709552,-51.09886084441377,985.8640465646224
44,1577218755.999,-27.717843006842926,-51.09886123821807,985.8075110605416
45,1577218756.999,-27.7178429042968,-51.098861544526464,985.8492332098846
46,1577218758.999,-27.71784246291939,-51.09886257121036,985.9279933165474
47,1577218759.999,-27.717842260346384,-51.09886268480881,985.9177641839366
48,1577218761.999,-27.717842081836,-51.09886261604967,985.9141877502724
49,1577218762.999,-27.717841819409152,-51.09886308097614,985.9344279909744
50,1577218764.999,-27.71784139772469,-51.0988634911616,985.9576726073856
51,1577218765.999,-27.717841066495563,-51.09886348389509,985.9508677175492
52,1577218767.999,-27.71784082049248,-51.09886397777073,985.9330347336754
53,1577218768.999,-27.717840699520828,-51.098864061747264,985.8488448376572
54,1577218770.999,-27.717841169991942,-51.098863957471245,985.6891430076208
55,1577218771.999,-27.71784136068185,-51.09886402693908,985.612002472198
56,1577218772.999,-27.71784157969118,-51.09886392396125,985.5634781771264
57,1577218774.999,-27.717841888265088,-51.09886401213236,985.4797912581098
58,1577218775.999,-27.71784190812339,-51.09886407328756,985.502150741948
59,1577218777.999,-27.71784208714593,-51.098863931936094,985.4064133997174
60,1577218778.999,-27.71784194165096,-51.098864116790935,985.3774948857504
61,1577218779.999,-27.717842035637418,-51.09886414561925,985.3548856975824
62,1577218780.999,-27.717841998468128,-51.09886427529326,985.3970906306656
63,1577218781.999,-27.717841885193668,-51.098864590568944,985.3953688795808
64,1577218782.999,-27.717841468363662,-51.098864532238274,985.443643354844
65,1577218783.999,-27.71784142962615,-51.09886469584473,985.444687868736
66,1577218784.999,-27.717841242178128,-51.098864704294,985.4398443313072
67,1577218785.999,-27.71784123065989,-51.09886510327438,985.4057002464516
68,1577218786.999,-27.71784140825196,-51.09886499655046,985.3488891164344
69,1577218787.999,-27.71784142817502,-51.09886482651736,985.2958594477196
70,1577218788.999,-27.717841192042386,-51.09886502679933,985.3241279606232
71,1577218789.999,-27.7178411816281,-51.098865073180775,985.2933143000472
72,1577218791.999,-27.717841250977337,-51.0988649847509,985.2997835269148
73,1577218792.999,-27.717841217046946,-51.09886503610196,985.2541989634574
74,1577218794.999,-27.717841253581245,-51.098865142795226,985.227624078214
75,1577218795.999,-27.717840956991854,-51.09886533963497,985.2450448150352
76,1577218797.999,-27.71784101948288,-51.09886488522276,985.1805333411588
77,1577218798.999,-27.717841048100887,-51.09886485850813,985.1493836579558
78,1577218800.999,-27.71784098351466,-51.09886513254355,985.1059762230328
79,1577218801.999,-27.717840966540585,-51.09886544467583,985.115475025932
80,1577218802.999,-27.71784094026226,-51.09886563547604,985.0985844016468
81,1577218803.999,-27.71784098215738,-51.09886571654708,985.0731510019996
